FRR	FAR
1.000	0.000
0.089	0.183
0.077	0.194
0.074	0.206
0.071	0.206
0.069	0.206
0.069	0.206
0.066	0.206
0.066	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.206
0.063	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.060	0.211
0.057	0.211
0.054	0.211
0.054	0.211
0.054	0.211
0.054	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.211
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.217
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.051	0.223
0.049	0.223
0.049	0.223
0.049	0.223
0.049	0.223
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
0.049	0.229
